Unit,Station_Lat,Station_Long,Sun_Norm,Mon_Norm,Tues_Norm,Wed_Norm,Thurs_Norm,Fri_Norm,Sat_Norm
R001,40.703082,-74.012983,1,7.986636971,9.585746102,9.469933185,10,6.271714922,2.273942094
R003,40.689945,-73.872564,1,7.335017686,8.221829207,8.731177362,10,6.393633148,3.273875695
R004,40.69132,-73.867135,1,9.390315981,9.885428506,10,9.942714253,6.888156399,2.593771312
R005,40.692304,-73.860151,1,9.693548387,10,8.566532258,5.679435484,3.469758065,3.054435484
R006,40.693866,-73.851568,1,8.901774909,10,9.549818475,9.321097217,6.707139976,2.91327148
R007,40.695184,-73.844326,1,8.896226415,9.537127206,9.416615946,10,6.910529519,2.547474133
R008,40.697405,-73.836354,1,10,9.056193114,9.415908192,9.576177285,7.535417491,3.13692125
R009,40.700536,-73.828382,1,9.558465511,9.638140907,10,9.598303209,6.680191811,3.091479159
R010,40.757303,-73.989787,1,8.058973002,9.470195871,9.475436739,10,6.778295394,2.920063526
R011,40.757303,-73.989787,1,9.459875133,9.50966956,9.863560225,10,7.515456068,2.355261154
R012,40.752247,-73.993456,1,9.090278466,9.428079477,9.655286889,10,7.168045783,1.812952136
R013,40.752247,-73.993456,1,9.1469054,9.472155646,9.995770478,10,7.193712111,1.839983082
R014,40.709938,-74.007983,1,9.084603543,9.562888923,9.826911819,10,6.924806487,2.074434639
R015,40.760179,-73.975196,1,9.270618659,9.903322061,9.984603143,10,7.153013726,1.663139049
R016,40.75753,-73.969102,1,9.334584625,9.857515913,10,8.701485229,6.909417333,2.255916435
R017,40.75753,-73.969102,1,9.11129935,9.792255332,10,9.93274845,6.954621086,1.750657994
R018,40.746655,-73.891361,1,9.28808124,10,9.23757349,8.19615179,5.774184928,4.321485836
R019,40.712622,-73.783815,1,9.467045069,9.722085734,9.918036259,10,6.949423924,2.350686208
R020,40.758652,-73.981311,1,9.399399571,9.954967834,10,9.668563259,7.010893495,1.666476054
R021,40.754198,-73.984573,1,9.084990677,9.699813549,9.805857676,10,6.485860783,2.073725917
